Балкон / лоджия,Планировка,Застройщик,link,Площадь кухни,Ливинг,Парковочное место,Этаж,Санузел,Высота потолков,price,Количество этажей,Общая площадь,Адрес,id,Жилой фонд,Тип здания,Жилая площадь,title,Тип,Автор объявления,Количество комнат,Состояние квартиры
1,Хрущевка,,https://999.md/ru/103242431?location=subcategory&index=2001,,,Oткрытое,5,1,,84 500 €,5,47 м²,"Кишинёв мун., Кишинёв, Ботаника, Traian, 1/2",103242431,Вторичный,Панельный,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,Exfactor-grup,https://999.md/ru/102479945?location=subcategory&index=2002,,,Подземная,4,1,,194 900 €,13,71 м²,"Кишинёв мун., Кишинёв, Буюканы, Vasile lupu, 28E",102479945,Новострой,Kирпичный,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,,https://999.md/ru/101979032?location=subcategory&index=2003,,,Oткрытое,9,1,,115 000 €,15,50 м²,"Кишинёв мун., Кишинёв, Ботаника, bd. Decebal, 23",101979032,Новострой,Ячеистый Бетон,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Eвроремонт
1,Индивидуальная,Exfactor-grup,https://999.md/ru/103359540?location=subcategory&index=2004,,,Oткрытое,9,2,,192 000 €,13,75 м²,"Кишинёв мун., Кишинёв, Буюканы, Vasile Lupu, 28b",103359540,Новострой,Kирпичный,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,,https://999.md/ru/103929382?location=subcategory&index=2005,,,Oткрытое,4,1,270 см,58 500 €,9,42 м²,"Кишинёв мун., Кишинёв, Телецентр, sos Hincesti, 142",103929382,Новострой,Kомбинированный,,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Незавершенное cтроительство
Нет,Индивидуальная,,https://999.md/ru/103551326?location=subcategory&index=2006,,,Oткрытое,3,1,,108 900 €,5,63 м²,"Кишинёв мун., Бачой, Окраина, Independenţei, 40/1",103551326,Новострой,Kомбинированный,,"2-х комнатная квартира,  Окраина,  Бачой,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,Golban Trade,https://999.md/ru/103764056?location=subcategory&index=2007,,,Oткрытое,5,1,,138 900 €,7,67 м²,"Кишинёв мун., Думбрава, Центр, Durlești, 20A",103764056,Новострой,Mонолитный,,"2-х комнатная квартира,  Центр,  Думбрава,  Кишинёв мун.",,Агентство,2-х комнатная квартира,Eвроремонт
2,Индивидуальная,,https://999.md/ru/102366963?location=subcategory&index=2008,,,Гараж,3,3,,114 900 €,4,100 м²,"Яловены, Яловены, Окраина, Moldova, 1",102366963,Вторичный,Kотельцовый,,"3-х комнатная квартира,  Окраина,  Яловены,  Яловены",,Агентство,3-х комнатная квартира,Eвроремонт
,,Basconslux,https://999.md/ru/85801054?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjcsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4NTgwMTA1NCIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6IiIsImwiOiJiMmE3MTgxMC03YTExLTQwMmYtYmQ2OS1jNWMwMDkwYzM2YzIiLCJlIjoiODkuMTQ5LjkzLjEzOSIsImciOiJsaXRlIiwidCI6IjIwMjYtMDQtMjBUMTc6Mzc6MDcuOTM0NjI4NDk4WiJ9fQ.gFa4-xqtRCoM8uPHvGzxHV6Wyt4-ei_lwin9bC2np3A&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2009,,,Подземная,2,2,,795 €,10,100 м²,"Кишинёв мун., Кишинёв, Центр, str. Lev Tolstoi, 24/1",85801054,Новострой,Блочный,100 м²,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Сдаю помесячно,Частное лицо,2-х комнатная квартира,Eвроремонт
1,,Estate Invest Company,https://999.md/ru/103294509?location=subcategory&index=2010,,,Oткрытое,11,1,,132 900 €,12,68 м²,"Кишинёв мун., Дурлешты, Окраина, Ialoveni, 136",103294509,Новострой,Kомбинированный,,"2-х комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
Нет,Индивидуальная,,https://999.md/ru/102415266?location=subcategory&index=2011,,,Oткрытое,6,1,,128 500 €,10,55 м²,"Кишинёв мун., Кодру, Центр, Costiujeni, 14\5",102415266,Новострой,Kомбинированный,,"2-х комнатная квартира,  Центр,  Кодру,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,,https://999.md/ru/103971669?location=subcategory&index=2012,,,Oткрытое,8,2,,167 000 €,16,70 м²,"Кишинёв мун., Кишинёв, Ботаника, Burebista, 114/2",103971669,Новострой,Kомбинированный,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
Нет,Индивидуальная,Basconslux,https://999.md/ru/103912702?location=subcategory&index=2013,,,Oткрытое,3,2,,195 000 €,17,89 м²,"Кишинёв мун., Кишинёв, Центр, Melestiu, 26/6",103912702,Новострой,Kотельцовый,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,,Exfactor-grup,https://999.md/ru/104066342?location=subcategory&index=2014,,,Подземная,14,2,,136 900 €,14,69 м²,"Кишинёв мун., Кишинёв, Буюканы, Vasile Lupu, 28",104066342,Новострой,Kирпичный,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Белый вариант
1,Хрущевка,,https://999.md/ru/100545187?location=subcategory&index=2015,,,Oткрытое,3,1,,119 900 €,5,60 м²,"Кишинёв мун., Кишинёв, Рышкановка, Alecu Russo, 3/2",100545187,Вторичный,Kотельцовый,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,Агентство,2-х комнатная квартира,Eвроремонт
1,Брж (Брежневка),,https://999.md/ru/103614041?location=subcategory&index=2016,,,Oткрытое,3,1,,98 000 €,5,47 м²,"Кишинёв мун., Кишинёв, Телецентр, Drumul Viilor, 43",103614041,Вторичный,Kотельцовый,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,Агентство,2-х комнатная квартира,Eвроремонт
2,Индивидуальная,,https://999.md/ru/103833712?location=subcategory&index=2017,,,Oткрытое,5,2,,139 900 €,6,85 м²,"Кишинёв мун., Кишинёв, Ботаника, Europa, 29 D",103833712,Новострой,Kирпичный,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Незавершенное cтроительство
1,Индивидуальная,Reconscivil,https://999.md/ru/102642447?location=subcategory&index=2018,,,Oткрытое,14,1,,145 900 €,15,80 м²,"Кишинёв мун., Кишинёв, Ботаника, Nicolai Zelinski, 15/3",102642447,Новострой,,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
Нет,Индивидуальная,Lagmar Impex,https://999.md/ru/103884188?location=subcategory&index=2019,,,Oткрытое,6,1,,177 500 €,14,79 м²,"Кишинёв мун., Кишинёв, Центр, Nicolae Testemițanu, 19/B",103884188,Новострой,Ячеистый Бетон,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
2,Индивидуальная,Eldorado Terra,https://999.md/ru/102866534?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI4NjY1MzQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNTEzMTk3MGItYmRiMy00NTgxLWFjMzMtMjg3MDU2OWJmNmRhIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDE3OjM3OjA3LjkzNDY3OTg5MVoifX0.-lzfqEV3ewccWt0NbfOAYvLNi7dC0UCQONFWoedWo9k&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2020,28 м²,Квартира с ливингом,Oткрытое,3,2,,228 000 €,11,97 м²,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 3/7",102866534,Новострой,Mонолитный,,"4-x комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,4-x комнатная квартира,Eвроремонт
Нет,Индивидуальная,,https://999.md/ru/103699920?location=subcategory&index=2021,,,Oткрытое,10,1,,69 900 €,11,78 м²,"Кишинёв мун., Кишинёв, Чокана, Bulevardul Mircea cel Bătrîn, 22/3",103699920,Новострой,Kотельцовый,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,Агентство,2-х комнатная квартира,Белый вариант
1,Индивидуальная,Lagmar Impex,https://999.md/ru/103904814?location=subcategory&index=2022,,,Oткрытое,10,2,,102 900 €,16,69 м²,"Кишинёв мун., Кишинёв, Рышкановка, Tudor Vladimirescu, J",103904814,Новострой,Kомбинированный,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Незавершенное cтроительство
2,Мс (Молд. Серия),,https://999.md/ru/103727402?location=subcategory&index=2023,,,Oткрытое,3,2,,59 500 €,9,39 м²,"Кишинёв мун., Кишинёв, Рышкановка, Tudor Vladimirescu, 1/3",103727402,Вторичный,Панельный,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Косметический pемонт
Нет,Индивидуальная,,https://999.md/ru/103062127?location=subcategory&index=2024,,,Oткрытое,5,1,,55 900 €,6,42 м²,"Кишинёв мун., Кишинёв, Центр, Grigore Vieru, 21\2",103062127,Вторичный,Kомбинированный,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Eвроремонт
2,Индивидуальная,,https://999.md/ru/103911544?location=subcategory&index=2025,,,Oткрытое,8,2,,134 900 €,11,94 м²,"Кишинёв мун., Кишинёв, Чокана, Bulevardul Mircea cel Bătrîn, 22/3",103911544,Новострой,Kотельцовый,,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Белый вариант
2,Индивидуальная,,https://999.md/ru/103440292?location=subcategory&index=2026,,,Подземная,5,1,,159 900 €,16,68 м²,"Кишинёв мун., Кишинёв, Ботаника, Bulevardul Decebal, 139/5",103440292,Новострой,Ячеистый Бетон,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
Нет,,,https://999.md/ru/103359088?location=subcategory&index=2027,,,Oткрытое,9,1,,42 500 €,9,34 м²,"Кишинёв мун., Кишинёв, Ботаника, Costiujeni, 8/3",103359088,Вторичный,Бетон,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Косметический pемонт
1,Хрущевка,,https://999.md/ru/103263869?location=subcategory&index=2028,,,Oткрытое,4,1,,85 990 €,5,47 м²,"Кишинёв мун., Кишинёв, Буюканы, Paris, 49",103263869,Вторичный,Панельный,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,Агентство,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,Golban Trade,https://999.md/ru/103816969?location=subcategory&index=2029,,,Oткрытое,4,1,,106 000 €,7,44 м²,"Кишинёв мун., Дурлешты, Центр, Regina Elisabeta, 2",103816969,Новострой,Kомбинированный,,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,Агентство,1-комнатная квартира,Eвроремонт
Нет,Индивидуальная,Estate Invest Company,https://999.md/ru/102051622?location=subcategory&index=2030,,,Подземная,3,1,,71 400 €,6,51 м²,"Кишинёв мун., Думбрава, Окраина, Durlesti, 1",102051622,Новострой,Kирпичный,,"1-комнатная квартира,  Окраина,  Думбрава,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Незавершенное cтроительство
Нет,Индивидуальная,Dansicons,https://999.md/ru/103531023?location=subcategory&index=2031,,,Oткрытое,3,2,,190 000 €,13,86 м²,"Кишинёв мун., Кишинёв, Центр, Petru Rareș, 36",103531023,Новострой,Kирпичный,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
Нет,Индивидуальная,Dansicons,https://999.md/ru/103502943?location=subcategory&index=2032,,,Подземная,2,2,,255 000 €,12,148 м²,"Кишинёв мун., Кишинёв, Центр, Nicolae Testemițanu, 23/1",103502943,Новострой,Ячеистый Бетон,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,Агентство,2-х комнатная квартира,Eвроремонт
Нет,Индивидуальная,,https://999.md/ru/103264586?location=subcategory&index=2033,,,Oткрытое,6,1,,79 900 €,6,55 м²,"Кишинёв мун., Кишинёв, Ботаника, GRENOBLE, 106B",103264586,Вторичный,Kомбинированный,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
2,,,https://999.md/ru/103794003?location=subcategory&index=2034,,,Oткрытое,7,2,,87 500 €,9,55 м²,"Кишинёв мун., Кишинёв, Ботаника, Costiujeni, 6",103794003,Вторичный,Панельный,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Косметический pемонт
1,Индивидуальная,,https://999.md/ru/103996333?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5OTYzMzMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiOWZkMDQ3MjQtOTM1Zi00YjAxLTk4MGEtM2UyZDBiODc4ODEwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxNzozNzowNy45MzE3OTk0NTJaIn19.cVfdexuAMtQyGRMVv3Kn_CtcgsbDU0pg_0cfofZPoYI&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=9,,Квартира с ливингом,Oткрытое,2,1,,82 900 €,2,90 м²,"Кишинёв мун., Кишинёв, Центр, ул. Поштей, 92",103996333,Вторичный,Kотельцовый,73 м²,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,3-х комнатная квартира,Eвроремонт
1,,,https://999.md/ru/103806249?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4MDYyNDkiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiYjUyY2ZiMmUtNzJlMC00N2FlLTg3ZmQtYzE0Y2E5Mzk4OTljIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxNzozNzowNy45MzE4NjM4NTVaIn19.uKX5PkEaBrk3oybG-il6z3k0QWtZS1T5t1IC379mmUs&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=10,,,,2,,,87 500 €,5,45 м²,Расположение,103806249,Вторичный,,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,2-х комнатная квартира,Eвроремонт
,,,https://999.md/ru/59160921?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI1OTE2MDkyMSIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfZm9vdGVyIiwieCI6InBybyIsImwiOiJiNDEwMzQwNS00MjZiLTRlMGMtOWViOC03ZjRkY2RmNzMyYTQiLCJlIjoiODkuMTQ5LjkzLjEzOSIsImciOiJ0dXJibyIsInQiOiIyMDI2LTA0LTIwVDE3OjM3OjA3LjkzMTg4Njk1MVoifX0.aAkGwmazZ6QKRI6HGbkFwsJ78YEl34hae6Hn02D6Zp0&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=11,,,,2,,,699 MDL,11,32 м²,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 3/a",59160921,Новострой,,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Сдаю посуточно,Агентство,1-комнатная квартира,
,,,https://999.md/ru/78925415?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjcsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI3ODkyNTQxNSIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfZm9vdGVyIiwieCI6InBybyIsImwiOiIzZTU1ODhmOS1mYTc5LTQ4NmItYmE5My0yZDNhNDgxMTgxODYiLCJlIjoiODkuMTQ5LjkzLjEzOSIsInQiOiIyMDI2LTA0LTIwVDE3OjM3OjA3LjkzMTkwODM3NloifX0.a3BZLuBbY4K3MeWSKASfd1KOrQ6HQ-Ks98Za1shHfFY&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=12,,,,4,,,400 €,5,45 м²,"Кишинёв мун., Кишинёв, Рышкановка, str. Miron Costin, 13/8",78925415,Вторичный,,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Сдаю помесячно,Застройщик,2-х комнатная квартира,
,Индивидуальная,,https://999.md/ru/37527564?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjcsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIzNzUyNzU2NCIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfZm9vdGVyIiwieCI6IiIsImwiOiJjYjE3ZDNmMi00NGJhLTQ0YTUtYjk5NS03NmViYTc0Y2IzMTYiLCJlIjoiODkuMTQ5LjkzLjEzOSIsInQiOiIyMDI2LTA0LTIwVDE3OjM3OjA3LjkzMTMyMDIyNloifX0.kMfpG7Q9Vs__6PCgtosLEkmu-wGtTd6ExssBqxKccVA&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=1,15 м²,,Oткрытое,9,,3 см,25 €,10,45 м²,"Кишинёв мун., Кишинёв, Центр, str. Ismail, 88",37527564,Новострой,Mонолитный,30 м²,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Сдаю посуточно,Застройщик,1-комнатная квартира,Eвроремонт
,,,https://999.md/ru/84343494?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjcsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4NDM0MzQ5NCIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfZm9vdGVyIiwieCI6IiIsImwiOiJhYzcxM2Q1NC0xOWRhLTQxNzEtYmExNy1jMDJkNmFjZmQ1ZDAiLCJlIjoiODkuMTQ5LjkzLjEzOSIsImciOiJsaXRlIiwidCI6IjIwMjYtMDQtMjBUMTc6Mzc6MDcuOTMxMzgyOTkxWiJ9fQ.d_kdVwEfhXEfbhiBrrlgpEHAoMayU4cJkI2gUyAQFHQ&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=2,,,,2,,,500 MDL,5,50 м²,"Кишинёв мун., Кишинёв, Центр, str. Grădinilor, 23",84343494,Вторичный,Kотельцовый,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Сдаю посуточно,Частное лицо,1-комнатная квартира,
1,,,https://999.md/ru/103246088?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjcsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMyNDYwODgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiMmI3MjU4OGYtMzBhZi00OWIzLWE2ZTUtZjcyNjExZGFiYzRjIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE3OjM3OjA3LjkzMTQzMDExMloifX0.61tQjMJMmA_XPOhP7e3q-82bbO8fF6KWYmyS3sOXFmc&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=3,,,,9,1,,799 MDL,14,55 м²,"Кишинёв мун., Кишинёв, Ботаника, str. Constantin Vârnav, 20/2",103246088,Новострой,Kирпичный,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Сдаю посуточно,Агентство,1-комнатная квартира,Eвроремонт
,,,https://999.md/ru/103867501?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjcsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4Njc1MDEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiNjNmMDg1NDAtOGMxYy00ZWI4LWI5NTEtYmFmNjJmNDExMmUwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE3OjM3OjA3LjkzMTQ2MjgyNFoifX0.o_KdvDyXp1WneANtr8XE7AlM97cN8iR53fQLxWoefs4&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=4,,Квартира без ливинга,Oткрытое,8,1,,50 €,17,64 м²,"Кишинёв мун., Кишинёв, Центр, str. Melestiu, 26/10",103867501,Новострой,,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Сдаю посуточно,Частное лицо,2-х комнатная квартира,
1,Индивидуальная,,https://999.md/ru/103928056?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5MjgwNTYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiJwcm8iLCJsIjoiNmYzYzVkYzUtOTMwOC00ODUwLTg4ZDQtZTZhZDgxMjI4NjgwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxNzozNzowNy45MzE1NzI4NTlaIn19.CUSTO9Bt8HOgwQi-uoJKGvO4j-c4W-wFsIEnNQ036UU&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=5,27 м²,Квартира с ливингом,Гараж,6,1,2800 см,175 000 €,8,77 м²,"Кишинёв мун., Кишинёв, Рышкановка, str. Socoleni, 2A",103928056,Новострой,Kирпичный,34 м²,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,Stroy Invest,https://999.md/ru/50556204?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjcsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI1MDU1NjIwNCIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfZm9vdGVyIiwieCI6InByZW1pdW0iLCJsIjoiNmE0NmJkODctMTQzMi00MzUzLWJjZGUtMmJkYWZjNjYyMjFmIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE3OjM3OjA3LjkzMTU5Nzk3M1oifX0.pS_P5pwhoavq5Ngic4t9zBVGt4h45HuUQmI9kqSXqNQ&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=6,,Квартира с ливингом,Oткрытое,2,1,,1 500 €,4,75 м²,"Кишинёв мун., Кишинёв, Буюканы, Primaverii, 11",50556204,Новострой,,,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,Застройщик,3-х комнатная квартира,Eвроремонт
,,Lagmar Impex,https://999.md/ru/103723243?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM3MjMyNDMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiJwcmVtaXVtIiwibCI6ImFlMjAxMjEyLTFiNjYtNGE1NS1hZjUwLWI1YTQ2YzFhZjRmMCIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMjBUMTc6Mzc6MDcuOTMxNjM5NjA2WiJ9fQ.BAu4KDbahbHJfrjAazu2wGPq7NbLFOE38T8IHBpBf_M&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=7,,Квартира с ливингом,Oткрытое,10,1,,127 000 €,12,41 м²,"Кишинёв мун., Кишинёв, Рышкановка, str. Cornesti, 17",103723243,Новострой,,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,
