Балкон / лоджия,Планировка,Ливинг,link,Площадь кухни,Застройщик,Парковочное место,Этаж,Санузел,Высота потолков,price,Количество этажей,Общая площадь,Адрес,id,Жилой фонд,Тип здания,Жилая площадь,title,Тип,Автор объявления,Количество комнат,Состояние квартиры
1,,Квартира с ливингом,https://999.md/ru/102059534?location=subcategory&index=2936,,,Подземная,3,1,,56 133 €,9,42 м²,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, 142",102059534,Новострой,Kирпичный,,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,1-комнатная квартира,Белый вариант
1,Индивидуальная,Квартира с ливингом,https://999.md/ru/101685632?location=subcategory&index=2937,,,Oткрытое,5,2,,114 227 €,7,96 м²,Расположение,101685632,Новострой,,,"3-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Белый вариант
,,,https://999.md/ru/103730787?location=subcategory&index=2938,,,,10,,,470 000 €,10,312 м²,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 2/A",103730787,Новострой,,,"4-x комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,Агентство,4-x комнатная квартира,
,,Квартира с ливингом,https://999.md/ru/103722367?location=subcategory&index=2939,,,,2,2,,320 000 €,7,115 м²,"Кишинёв мун., Кишинёв, Центр, str. Mihai Viteazul, 10",103722367,Новострой,,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,,https://999.md/ru/104056882?location=subcategory&index=2940,,,,3,2,,60 000 €,9,55 м²,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Testemițanu, 61",104056882,Новострой,,,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,Частное лицо,1-комнатная квартира,Сдан в эксплуатацию
1,,Квартира без ливинга,https://999.md/ru/103862463?location=subcategory&index=2941,,Poliprim Grup,,6,,,57 720 €,10,48 м²,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 22",103862463,Новострой,,,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Белый вариант
2,,Квартира с ливингом,https://999.md/ru/102776236?location=subcategory&index=2942,,Solomon Construct Imobil,Подземная,8,2,,174 345 €,12,116 м²,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/4",102776236,Новострой,,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,3-х комнатная квартира,Белый вариант
1,,Квартира с ливингом,https://999.md/ru/103825788?location=subcategory&index=2943,,Inamstro,Oткрытое,13,1,290 см,315 000 €,13,93 м²,"Кишинёв мун., Кишинёв, Центр, str. Ion Creangă, 5/2",103825788,Новострой,,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,2-х комнатная квартира,
,,,https://999.md/ru/103986119?location=subcategory&index=2944,2 м²,,,2,,,42 500 €,9,24 м²,"Кишинёв мун., Кишинёв, Ботаника, str. Sarmizegetusa, 94/1",103986119,Вторичный,,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Eвроремонт
1,,Квартира с ливингом,https://999.md/ru/101129855?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDExMjk4NTUiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiMDIwMjUzOWMtZTBhOC00MTBmLTlkZDItY2ZlYjEzYmFlMzg2IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE4OjQzOjE5LjEzMjM5NjAwOVoifX0.ML_hGdbWAKW_UqchC87EnL0-shavwnsXMTMPXOk-I0s&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2945,,,Oткрытое,6,1,,79 500 €,6,47 м²,"Кишинёв мун., Кишинёв, Рышкановка, str. Alecu Russo, 4",101129855,Вторичный,Бетон,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,2-х комнатная квартира,Eвроремонт
,,,https://999.md/ru/103797033?location=subcategory&index=2946,,,Подземная,4,1,290 см,90 001 €,6,63 м²,"Яловены, Яловены, Центр, str. Alexandru cel Bun, 13/N",103797033,Новострой,,,"2-х комнатная квартира,  Центр,  Яловены,  Яловены",Продам,Агентство,2-х комнатная квартира,Белый вариант
1,Индивидуальная,Квартира с ливингом,https://999.md/ru/103824833?location=subcategory&index=2947,,Inamstro,Oткрытое,3,1,290 см,157 760 €,5,93 м²,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 58",103824833,Новострой,Бетон,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,3-х комнатная квартира,Сдан в эксплуатацию
1,,,https://999.md/ru/103824270?location=subcategory&index=2948,,Sky House,,10,,290 см,199 000 €,10,75 м²,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Dimo, 4/1",103824270,Новострой,Бетон,,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,3-х комнатная квартира,Eвроремонт
1,,Квартира с ливингом,https://999.md/ru/103823961?location=subcategory&index=2949,,Dansicons,,13,1,,140 000 €,14,69 м²,"Кишинёв мун., Кишинёв, Ботаника, str. Academician Natalia Gheorghiu, 30",103823961,Новострой,Mонолитный,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,2-х комнатная квартира,Eвроремонт
1,143,,https://999.md/ru/104067912?location=subcategory&index=2950,,,Oткрытое,9,2,,94 900 €,10,50 м²,"Кишинёв мун., Кишинёв, Чокана, Bulevardul Mircea cel Bătrân, 31/2",104067912,Вторичный,Панельный,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Косметический pемонт
,Индивидуальная,,https://999.md/ru/100531956?location=subcategory&index=2951,,,Oткрытое,10,1,,69 000 €,16,45 м²,"Кишинёв мун., Кишинёв, Рышкановка, ул. Каля Мошилор, .",100531956,Новострой,,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Белый вариант
1,,Квартира с ливингом,https://999.md/ru/77426539?location=subcategory&index=2952,,,Oткрытое,3,1,,41 900 €,6,47 м²,"Бельцы мун., Бельцы, Молодово, str. Ștefan cel Mare și Sfînt, 189",77426539,Новострой,,,"2-х комнатная квартира,  Молодово,  Бельцы,  Бельцы мун.",,Застройщик,2-х комнатная квартира,Белый вариант
1,,Квартира с ливингом,https://999.md/ru/102951045?location=subcategory&index=2953,,Inamstro,,2,1,,255 000 €,12,73 м²,"Кишинёв мун., Кишинёв, Скулянка, ул. Каля Ешилор, 6 C",102951045,Новострой,,,"2-х комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
Нет,Индивидуальная,,https://999.md/ru/101213340?location=subcategory&index=2954,,,Oткрытое,3,1,,82 000 €,9,39 м²,"Кишинёв мун., Кишинёв, Чокана, str. Ion Dumeniuc, .",101213340,Новострой,,,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Белый вариант
,,Квартира без ливинга,https://999.md/ru/103257382?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMyNTczODIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiMDA4ZjI4ZjktMzliNC00NTZkLWFjMzItYWM4NTIyMTU3ZDU3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDE4OjQzOjE5LjEzMjQ3NTE4N1oifX0.5vJY0aPiTJGEUrHR5rmY2fDV3bpn-2IAU0oKw7yBzN8&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2955,,,,11,,,108 000 €,15,43 м²,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemitanu, 3/10",103257382,Новострой,,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,1-комнатная квартира,
,,,https://999.md/ru/103893133?location=subcategory&index=2956,,Estate Invest Company,,7,2,,135 660 €,9,65 м²,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, -",103893133,Новострой,,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
Нет,,Квартира с ливингом,https://999.md/ru/103915500?location=subcategory&index=2957,,Estate Invest Company,Подземная,7,2,270 см,176 000 €,9,89 м²,"Кишинёв мун., Дурлешты, Центр, str. Ialoveni, 136/A",103915500,Новострой,Kирпичный,88 м²,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,Агентство,3-х комнатная квартира,Eвроремонт
2,Мс (Молд. Серия),,https://999.md/ru/103828309?location=subcategory&index=2958,,,Oткрытое,6,3,,138 900 €,9,87 м²,"Кишинёв мун., Кишинёв, Чокана, str. Petru Zadnipru, /",103828309,Вторичный,Панельный,,"4-x комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Агентство,4-x комнатная квартира,Eвроремонт
,,Квартира с ливингом,https://999.md/ru/101591587?location=subcategory&index=2959,,Poliprim Grup,,4,,,85 900 €,9,66 м²,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24",101591587,Новострой,,,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,
,,Квартира с ливингом,https://999.md/ru/102411902?location=subcategory&index=2960,,Inamstro,,11,,,285 000 €,13,82 м²,"Кишинёв мун., Кишинёв, Центр, str. Calea Ieșilor, 2/3",102411902,Новострой,,,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,3-х комнатная квартира,
,,Квартира с ливингом,https://999.md/ru/103515803?location=subcategory&index=2961,,Eldorado Terra,,14,,,249 000 €,15,85 м²,"Кишинёв мун., Кишинёв, Ботаника, bd. Decebal, 6/2",103515803,Новострой,,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,3-х комнатная квартира,Индивидуальный дизайн
2,,Квартира с ливингом,https://999.md/ru/103801583?location=subcategory&index=2962,,,,15,2,,499 000 €,17,126 м²,"Кишинёв мун., Кишинёв, Центр, bd. Ştefan cel Mare şi Sfânt, 171/3",103801583,Новострой,,,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,3-х комнатная квартира,Белый вариант
1,,,https://999.md/ru/102553346?location=subcategory&index=2963,,,Oткрытое,4,1,,98 900 €,9,47 м²,"Кишинёв мун., Кишинёв, Центр, str. Gheorghe Cașu, 30/E",102553346,Новострой,,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Eвроремонт
2,Индивидуальная,Квартира с ливингом,https://999.md/ru/103801614?location=subcategory&index=2964,,Solomon Construct Imobil,Подземная,15,2,315 см,499 000 €,17,126 м²,"Кишинёв мун., Кишинёв, Центр, str. Constantin Stere, 20",103801614,Новострой,Mонолитный,,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,3-х комнатная квартира,Белый вариант
,,Квартира с ливингом,https://999.md/ru/102413061?location=subcategory&index=2965,,Varicom,Подземная,3,2,,85 522 €,6,70 м²,"Кишинёв мун., Криково, Центр, str. Chişinău, 68",102413061,Новострой,Kотельцовый,,"2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",Продам,Застройщик,2-х комнатная квартира,Белый вариант
1,,Квартира с ливингом,https://999.md/ru/103482076?location=subcategory&index=2966,,Inamstro,Oткрытое,12,1,,174 000 €,13,60 м²,"Кишинёв мун., Кишинёв, Скулянка, str. Calea Ieșilor, 6",103482076,Новострой,,,"2-х комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,2-х комнатная квартира,Eвроремонт
,,,https://999.md/ru/103347852?location=subcategory&index=2967,,,Oткрытое,1,1,,52 200 €,5,21 м²,"Кишинёв мун., Кишинёв, Ботаника, str. Nikolai Zelinski, 5/6",103347852,Вторичный,,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,1-комнатная квартира,Eвроремонт
,,,https://999.md/ru/103386775?location=subcategory&index=2968,,,Подземная,3,2,,124 900 €,10,52 м²,"Кишинёв мун., Кишинёв, Буюканы, str. Onisifor Ghibu, 10",103386775,Новострой,,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,2-х комнатная квартира,Белый вариант
,,,https://999.md/ru/103348503?location=subcategory&index=2969,,,Oткрытое,3,1,,47 500 €,5,24 м²,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 3",103348503,Вторичный,,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,1-комнатная квартира,Eвроремонт
1,Индивидуальная,Квартира с ливингом,https://999.md/ru/102700126?location=subcategory&index=2970,16 м²,Exfactor-grup,Подземная,3,1,280 см,172 000 €,11,86 м²,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",102700126,Новострой,Блочный,70 м²,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,Частное лицо,3-х комнатная квартира,Белый вариант
Нет,,Квартира с ливингом,https://999.md/ru/103059582?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMwNTk1ODIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiYTZmMzkzN2YtN2IwNy00OTQ2LWE4NGYtOTU4NmFmMTQyNWY5IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE4OjQzOjE5LjE0NDIxMDg4MVoifX0.qPwQnUeoLWTMF7l-uXZBftugvr7wVfL5yzCqfFIgGwk&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=9,,,Oткрытое,3,1,280 см,169 000 €,3,63 м²,"Кишинёв мун., Кишинёв, Центр, str. Ivan Zaikin, 51",103059582,Новострой,Бетон,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,2-х комнатная квартира,Eвроремонт
1,Брж (Брежневка),Квартира с ливингом,https://999.md/ru/102777846?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI3Nzc4NDYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiOGZjZDllMzAtYTBkNi00NzU1LWI2MWQtN2I3MDJjNDM1ODYxIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxODo0MzoxOS4xNDQyMjQ4ODdaIn19.ki71dnE9_ixq3ScE4qu4Txd6cQJppQinqvZOisB1iVI&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=10,8 м²,Casa de Piatra,Oткрытое,5,1,,500 €,5,56 м²,Расположение,102777846,Вторичный,Kотельцовый,36 м²,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Сдаю помесячно,Частное лицо,2-х комнатная квартира,Eвроремонт
1,,Квартира с ливингом,https://999.md/ru/101792106?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3OTIxMDYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiNGI4NDEzNjMtZTE5Yy00YWFjLTg5NmEtM2ZjZmM5MjBiNTI2IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxODo0MzoxOS4xNDQyMzcxNzVaIn19.3rKJuUhcSlotd1vwMMmlT6cPa6sO8rt8s1FKXseIrcQ&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=11,,Lagmar Impex,,2,1,,77 000 €,10,56 м²,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, 142",101792106,Новострой,,,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,1-комнатная квартира,Белый вариант
1,,Квартира с ливингом,https://999.md/ru/104007908?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwMDc5MDgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiYzU1Nzg0ZjYtYmVmMC00MzFjLTkyZTItY2U1ZWZkZWY0ZjI2IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxODo0MzoxOS4xNDQyNjI1MzhaIn19.n5jxPJxg2flANr10BFXkULgdFCH_SJ3UGcONejWbOFo&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=12,,,Подземная,2,,3 см,300 000 €,10,86 м²,"Кишинёв мун., Кишинёв, Центр, str. Mihai Eminescu, 63",104007908,Новострой,Kирпичный,,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,3-х комнатная квартира,Eвроремонт
1,,Квартира с ливингом,https://999.md/ru/84766953?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4NDc2Njk1MyIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfZm9vdGVyIiwieCI6InByZW1pdW0iLCJsIjoiZmNjMGMzOTItYjk1Yi00MmY0LTgxNDItMjE0MTRjYjRhNDQyIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxODo0MzoxOS4xNDM4MTY0NzlaIn19.4MbJXaK2YKs25y5GbPfSdxlAL2Q9jjS23Tp7K5Pixcg&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=1,,,Подземная,6,2,,1 300 €,13,98 м²,"Кишинёв мун., Кишинёв, Центр, str. Melestiu, 26/5",84766953,Новострой,,89 м²,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Сдаю помесячно,Частное лицо,2-х комнатная квартира,Eвроремонт
,,,https://999.md/ru/101739814?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3Mzk4MTQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiN2MxZjBkMjctOWFiMC00NTI3LTkwODYtNjk0MWJjZTdmMzUxIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDE4OjQzOjE5LjE0Mzg3MjUyWiJ9fQ.URgVRq7QQf-b9cStJojhWOnkh6w8l0Jtmmok-SYcTPI&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=2,,,,4,,,500 €,9,73 м²,"Кишинёв мун., Кишинёв, Чокана, ул. Николае Милеску-Спэтарул, 9/2",101739814,Вторичный,,,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,Частное лицо,3-х комнатная квартира,
,,Квартира с ливингом,https://999.md/ru/101794818?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3OTQ4MTgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMjBUMTg6NDM6MTkuMTQzOTE2MDExWiJ9fQ.lbQq9UNfcH-HSeom2fFIbX_ZUu-uK2kBLlF0r2z1MqU&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=3,,Solomon Construct Imobil,,5,,290 см,79 123 €,9,72 м²,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",101794818,Новострой,,,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,Застройщик,2-х комнатная квартира,Незавершенное cтроительство
1,Индивидуальная,,https://999.md/ru/75536701?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI3NTUzNjcwMSIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfZm9vdGVyIiwieCI6InByZW1pdW0iLCJsIjoiOTkyYjUyYWItZmVjYi00YmVjLWE1NjAtMmVkNTQyZTBmZWU5IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxODo0MzoxOS4xNDM5NjAwMDVaIn19.NU7qXF6kju-Zu3y4FHa_FI7N849ghrw8EV-HkLSo4R0&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=4,,,Oткрытое,4,1,,60 €,16,55 м²,Расположение,75536701,Новострой,Kомбинированный,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Сдаю посуточно,Агентство,2-х комнатная квартира,Индивидуальный дизайн
1,Индивидуальная,,https://999.md/ru/103920645?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5MjA2NDUiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiZDNlNGJjNTgtMzNhNy00MTY4LTg1MDItMmNmM2YxNGYxYTg3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxODo0MzoxOS4xNDQwNTYzOTRaIn19.LzZ76P61FbocB6vg0oy5zwRV0vfJ52BKaDLVM1UXN-4&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=5,21 м²,,Oткрытое,10,1,380 см,3 000 $,10,96 м²,"Тирасполь мун., Тирасполь, Ларионова, ул. Ларионова, 55",103920645,Вторичный,Kотельцовый,75 м²,"2-х комнатная квартира,  Ларионова,  Тирасполь,  Тирасполь мун.",Продам,Частное лицо,2-х комнатная квартира,Eвроремонт
,,Квартира с ливингом,https://999.md/ru/103366835?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMzNjY4MzUiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiZjVmZTVjYzItOTMzOC00ZTBjLWI3NTAtYWNhZTY0ZjNiNzc0IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE4OjQzOjE5LjE0NDA4NTY5NloifX0.xm9qYMR86WuLUmV8Z4dHaLPvWax3KqVAcy6stMaObx4&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=6,,Exfactor-grup,,9,,,192 000 €,13,75 м²,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",103366835,Новострой,,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
,Индивидуальная,,https://999.md/ru/37573925?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIzNzU3MzkyNSIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfZm9vdGVyIiwieCI6IiIsImwiOiJjYjE3ZDNmMi00NGJhLTQ0YTUtYjk5NS03NmViYTc0Y2IzMTYiLCJlIjoiODkuMTQ5LjkzLjEzOSIsInQiOiIyMDI2LTA0LTIwVDE4OjQzOjE5LjE0NDEzNzczOVoifX0.Y24p5abTpBxd3FBAMN1dMzymRzdfxMSVsnxui0xrryk&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=7,15 м²,,Oткрытое,7,,3 см,25 €,10,45 м²,"Кишинёв мун., Кишинёв, Центр, str. Ismail, 88",37573925,Новострой,Mонолитный,30 м²,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Сдаю посуточно,Застройщик,1-комнатная квартира,Eвроремонт
