Количество комнат,link,Парковочное место,id,Количество этажей,title,Тип,Планировка,Жилая площадь,price,Балкон / лоджия,Высота потолков,Санузел,Ливинг,Этаж,Адрес,Состояние квартиры,Автор объявления,Тип здания,Общая площадь,Жилой фонд,Застройщик,Площадь кухни
2-х комнатная квартира,https://999.md/ru/102831939,Гараж,102831939,6,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,,,103 397 €,2,286 см,2,Квартира с ливингом,2,"Кишинёв мун., Дурлешты, Центр, str. Durlești, 8",Белый вариант,Застройщик,Ячеистый Бетон,77 м²,Новострой,Astercon,12 м²
3-х комнатная квартира,https://999.md/ru/103347120,Гараж,103347120,7,"3-х комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.",Продам,,,153 410 €,1,275 см,2,,1,"Кишинёв мун., Дурлешты, Окраина, str. Durlesti, 10/A",Белый вариант,Застройщик,Kотельцовый,106 м²,Новострой,Astercon,19 м²
3-х комнатная квартира,https://999.md/ru/103375263,Oткрытое,103375263,7,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Индивидуальная,,114 900 €,2,,2,Квартира без ливинга,3,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Creangă, 82/4",Косметический pемонт,Агентство,Kотельцовый,81 м²,Вторичный,,
2-х комнатная квартира,https://999.md/ru/100234480,,100234480,8,"2-х комнатная квартира,  Центр,  Яловены,  Яловены",Продам,Индивидуальная,,72 000 €,2,,1,,5,"Яловены, Яловены, Центр, str. Nicolae Testemiţanu, 1",Белый вариант,Застройщик,Kомбинированный,59 м²,Новострой,Poliprim Grup,
3-х комнатная квартира,https://999.md/ru/100234452,,100234452,8,"3-х комнатная квартира,  Центр,  Яловены,  Яловены",Продам,Индивидуальная,,90 200 €,2,,2,,4,"Яловены, Яловены, Центр, str. Nicolae Testemiţanu, 1",Белый вариант,Застройщик,Kомбинированный,82 м²,Новострой,Poliprim Grup,
1-комнатная квартира,https://999.md/ru/88856158,Oткрытое,88856158,15,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,41 м²,99 000 €,,,1,,13,"Кишинёв мун., Кишинёв, Ботаника, str. Nikolai Zelinski, 15/6",Eвроремонт,Частное лицо,,41 м²,Новострой,Reconscivil,
2-х комнатная квартира,https://999.md/ru/103919363?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzg3NzEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5MTkzNjMiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiJwcmVtaXVtIiwibCI6ImQ4MGQyMmM1LTA3NTQtNDgxYS05Y2IxLTM2N2YzNzFmYTMzNiIsImUiOiI4OS4xNDkuOTEuMTcwIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMDVUMDc6NDY6MTEuNjQwNzkzNDAyWiJ9fQ.u6KC6y-DNWo3Huc2cXNIpV9uZrHQKpHy0PP0rExmMPI&adType=booster,,103919363,9,"2-х комнатная квартира,  Окраина,  Яловены,  Яловены",Продам,,,127 500 €,,,,Квартира с ливингом,2,"Яловены, Яловены, Окраина, str. Alexandru cel Bun, 2/8",,Агентство,,60 м²,Новострой,,
3-х комнатная квартира,https://999.md/ru/102999109?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzg4NjcsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI5OTkxMDkiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiZjYzNmM0ZDQtMjM0Yi00OTg2LTg5NGUtNGRiYjM1NDQ0M2M5IiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTA1VDA3OjQ3OjQ3LjU0NDgwMTIyMloifX0.gkZEQ3qUzrkESwiuInZjMRmQY7GftpiFf8EVVCy1h58&adType=booster,,102999109,9,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,,,285 000 €,1,,1,Квартира с ливингом,5,"Кишинёв мун., Кишинёв, Центр, str. Constantin Stere, 16",Белый вариант,Частное лицо,Kирпичный,106 м²,Новострой,Inamstro,
3-х комнатная квартира,https://999.md/ru/101794926,,101794926,9,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,,,124 660 €,1,290 см,,Квартира с ливингом,4,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",Незавершенное cтроительство,Застройщик,,110 м²,Новострой,Solomon Construct Imobil,27 м²
1-комнатная квартира,https://999.md/ru/101845429,,101845429,9,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,51 920 €,,,1,Квартира с ливингом,3,"Кишинёв мун., Кишинёв, Ботаника, dacia 59, 59",Незавершенное cтроительство,Частное лицо,,47 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/102240482,Гараж,102240482,6,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,Индивидуальная,,102 830 €,1,286 см,2,Квартира с ливингом,3,"Кишинёв мун., Дурлешты, Центр, str. Durlești, 8",Белый вариант,Застройщик,Ячеистый Бетон,76 м²,Новострой,Astercon,12 м²
1-комнатная квартира,https://999.md/ru/102328031,Подземная,102328031,12,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Индивидуальная,30 м²,249 000 €,Нет,2700 см,1,Квартира с ливингом,4,"Кишинёв мун., Кишинёв, Центр, ул. Каля Ешилор, 6",Индивидуальный дизайн,,Kомбинированный,50 м²,Новострой,Inamstro,20 м²
2-х комнатная квартира,https://999.md/ru/86325477,,86325477,5,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,,,157 500 €,,,,,4,"Кишинёв мун., Кишинёв, Центр, str. Izmail, 28",,Застройщик,,63 м²,Новострой,,
1-комнатная квартира,https://999.md/ru/86325750,Подземная,86325750,5,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,,,127 500 €,,,,,3,"Кишинёв мун., Кишинёв, Центр, str. Ismail, 28",Белый вариант,Застройщик,Kирпичный,51 м²,Новострой,Vasigur Grup,
1-комнатная квартира,https://999.md/ru/86324840,Подземная,86324840,5,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,,,117 500 €,,,,Квартира с ливингом,2,"Кишинёв мун., Кишинёв, Центр, str. Ismail, 28",Белый вариант,Застройщик,,47 м²,Новострой,Vasigur Grup,
3-х комнатная квартира,https://999.md/ru/86313904,,86313904,5,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,,,205 000 €,,,,,3,"Кишинёв мун., Кишинёв, Центр, str. Ismail, 28",Белый вариант,Застройщик,,82 м²,Новострой,,
3-х комнатная квартира,https://999.md/ru/100234180,,100234180,10,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,Индивидуальная,,79 200 €,2,,2,Квартира с ливингом,5,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 26",Белый вариант,Застройщик,Kомбинированный,72 м²,Новострой,Poliprim Grup,
1-комнатная квартира,https://999.md/ru/100233915,,100233915,10,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,Индивидуальная,,47 150 €,1,,1,Квартира с ливингом,3,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 26",Белый вариант,Застройщик,Kомбинированный,41 м²,Новострой,Poliprim Grup,
1-комнатная квартира,https://999.md/ru/88246227,,88246227,5,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,,,127 500 €,,,,Квартира с ливингом,3,"Кишинёв мун., Кишинёв, Центр, str. Ismail, 28",,Застройщик,,51 м²,Новострой,,
3-х комнатная квартира,https://999.md/ru/43914404,Подземная,43914404,10,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Индивидуальная,,116 992 €,,,,,9,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Luca Caragiale, 24",Белый вариант,Застройщик,Kирпичный,73 м²,Новострой,,
1-комнатная квартира,https://999.md/ru/103987332,,103987332,5,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Брж (Брежневка),18 м²,70 000 €,1,270 см,1,Квартира без ливинга,5,"Кишинёв мун., Кишинёв, Рышкановка, Московский пр-т, 13/5",Косметический pемонт,Застройщик,Kотельцовый,32 м²,Вторичный,,8 м²
3-х комнатная квартира,https://999.md/ru/103870458,Oткрытое,103870458,5,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Чш (Чешка),50 м²,130 000 €,1,,1,,2,"Кишинёв мун., Кишинёв, Рышкановка, MOSCOVEI, '",Косметический pемонт,Застройщик,Kотельцовый,74 м²,Вторичный,,9 м²
1-комнатная квартира,https://999.md/ru/103987321,Oткрытое,103987321,10,"1-комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.",Продам,,47 м²,109 500 €,,,1,Квартира с ливингом,8,"Кишинёв мун., Кишинёв, Скулянка, str. Calea Ieșilor, .",Eвроремонт,Агентство,,47 м²,Новострой,,
1-комнатная квартира,https://999.md/ru/101130978,,101130978,12,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Индивидуальная,,67 590 €,1,,,Квартира с ливингом,6,Расположение,Белый вариант,Частное лицо,Kомбинированный,52 м²,Новострой,Braus Imobiliare,
Комната,https://999.md/ru/103987297,,103987297,10,"Комната,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,,,29 999 €,,,,,8,"Кишинёв мун., Кишинёв, Чокана, str. Petru Zadnipru, 4/2",,Агентство,,15 м²,Вторичный,,
2-х комнатная квартира,https://999.md/ru/102517625,,102517625,12,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,115 000 €125 000 €,,,2,,2,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 1/2",,Агентство,,64 м²,Новострой,,
1-комнатная квартира,https://999.md/ru/103987288,,103987288,10,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,,,29 999 €,,,,,8,"Кишинёв мун., Кишинёв, Чокана, str. Petru Zadnipru, 4/2",,Агентство,,15 м²,Вторичный,,
1-комнатная квартира,https://999.md/ru/103958640,Подземная,103958640,9,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,,,79 500 €,,,1,,3,"Кишинёв мун., Кишинёв, Центр, str. Ialoveni, 98/1",Eвроремонт,Агентство,,31 м²,Новострой,,
3-х комнатная квартира,https://999.md/ru/85457674,,85457674,12,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,159 000 €,,,,,4,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/4",,Застройщик,,106 м²,Новострой,Solomon Construct Imobil,
2-х комнатная квартира,https://999.md/ru/103973406,Oткрытое,103973406,9,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,Индивидуальная,,129 500 €,1,,2,Квартира с ливингом,8,"Кишинёв мун., Дурлешты, Центр, ул. Николае Димо, 24",Индивидуальный дизайн,Застройщик,Kирпичный,67 м²,Новострой,Boiar House,
1-комнатная квартира,https://999.md/ru/103896209?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzg4NjcsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4OTYyMDkiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiM2UxYWI5ZmYtNDA4Yy00MTIzLTlhOTEtMzNiOTgzZjQ1MTQ5IiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTA1VDA3OjQ3OjQ3LjU0NzA4MTIwOFoifX0._Ofermq9d-N44Bk8boRX1QSJNo-X6IBOaPR2AJ9jJnE&adType=booster,,103896209,10,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,,41 м²,103 000 €,1,,,Квартира с ливингом,6,"Кишинёв мун., Кишинёв, Буюканы, Stradela Lipcani, 5",Eвроремонт,Частное лицо,,45 м²,Новострой,,
1-комнатная квартира,https://999.md/ru/103428709,Подземная,103428709,10,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Индивидуальная,53 м²,69 000 €,1,,1,Квартира с ливингом,9,"Кишинёв мун., Кишинёв, Телецентр, sos. Hincesti, 140/1",Белый вариант,Застройщик,Kирпичный,53 м²,Новострой,Braus Imobiliare,
2-х комнатная квартира,https://999.md/ru/102545983,,102545983,12,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,154 800 €,,3300 см,,Квартира с ливингом,12,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/4",,Застройщик,,86 м²,Новострой,,
3-х комнатная квартира,https://999.md/ru/103664132,Oткрытое,103664132,1,"3-х комнатная квартира,  Аэропорт,  Кишинёв,  Кишинёв мун.",Продам,На земле,88 м²,123 000 €,1,290 см,1,Квартира с ливингом,1,"Кишинёв мун., Кишинёв, Аэропорт, dacia, 77",Нуждается в ремонте,Застройщик,Kомбинированный,115 м²,Вторичный,A-casa,22 м²
1-комнатная квартира,https://999.md/ru/102757386,Oткрытое,102757386,5,"1-комнатная квартира,  Центр,  Бельцы,  Бельцы мун.",Продам,,,38 500 €,1,,1,,5,"Бельцы мун., Бельцы, Центр, ул. Индепенденцей, 102а",Eвроремонт,Застройщик,,37 м²,Вторичный,,
1-комнатная квартира,https://999.md/ru/103674803,,103674803,10,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,,,88 000 €,,,,Квартира с ливингом,2,"Кишинёв мун., Кишинёв, Чокана, str. Ion Dumeniuc, 6",Белый вариант,Агентство,,44 м²,Новострой,Inamstro,
2-х комнатная квартира,https://999.md/ru/101878901,,101878901,10,"2-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",Продам,,,70 400 €,,,,Квартира с ливингом,6,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",,Застройщик,Бетон,64 м²,Новострой,Solomon Construct Imobil,
3-х комнатная квартира,https://999.md/ru/103717309?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzg4NjcsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM3MTczMDkiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiMGQ4ZjZjNDctMzJjOC00YmY5LWE4OWQtOTBiOTU5YTk1ZjY2IiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTA1VDA3OjQ3OjQ3LjU3NTg4NjIyM1oifX0.JspAR3FtWbFXD-SNLRkBQZg0KllpO_Dit7W1rYriWxA&adType=booster,Oткрытое,103717309,8,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,,,299 000 €,4 и более,320 см,2,Квартира с ливингом,4,"Кишинёв мун., Кишинёв, Центр, str. Mitropolitul Petru Movila, 23/5",Индивидуальный дизайн,Частное лицо,Kотельцовый,130 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/103095342?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzg4NjcsIkMiOnsiciI6MSwiYiI6MTIwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMwOTUzNDIiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiZTkyZGUxYWYtNTM1Ny00YTg5LWI4YjctM2M1ZTkxYzc3ZDZjIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJ0IjoiMjAyNi0wNC0wNVQwNzo0Nzo0Ny41NzQ4NTg0MjhaIn19.pwvBp3E2qUesPbComua8b-jQgIpxq_ki09HAPyG63m8&adType=booster,Oткрытое,103095342,8,"2-х комнатная квартира,  Окраина,  Бубуечь,  Кишинёв мун.",Продам,,,92 000 €,3,,1,,2,"Кишинёв мун., Бубуечь, Окраина, str. Fierarilor, 30",,Частное лицо,Kотельцовый,72 м²,Вторичный,,17 м²
2-х комнатная квартира,https://999.md/ru/103059582?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzg5ODYsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMwNTk1ODIiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYTZmMzkzN2YtN2IwNy00OTQ2LWE4NGYtOTU4NmFmMTQyNWY5IiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTA1VDA3OjQ5OjQ2LjQ5NTE1NzQxOFoifX0.tC6lDgLwo3VQ35iVgmDCXXrweOr4tOsvGZ7XgxlEBwY&adType=booster,Oткрытое,103059582,3,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,,,169 000 €,Нет,280 см,1,Квартира с ливингом,3,"Кишинёв мун., Кишинёв, Центр, str. Ivan Zaikin, 51",Eвроремонт,Частное лицо,Бетон,63 м²,Новострой,,
1-комнатная квартира,https://999.md/ru/103613562,,103613562,14,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,85 500 €99 000 €,2,3 см,2,,12,"Кишинёв мун., Кишинёв, Ботаника, бул. Траян, 22",,Агентство,,53 м²,Новострой,,
3-х комнатная квартира,https://999.md/ru/101929630,Oткрытое,101929630,5,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,,,120 000 €,1,,1,,1,"Кишинёв мун., Кишинёв, Рышкановка, str. Magda Isanos, 15",Eвроремонт,,Бетон,62 м²,Вторичный,,
4-x комнатная квартира,https://999.md/ru/86135827,Гараж,86135827,5,"4-x комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Индивидуальная,135 м²,253 500 €,Нет,265 см,3,Квартира с ливингом,2,"Кишинёв мун., Кишинёв, Ботаника, bd. Traian, 6/4",Косметический pемонт,Застройщик,Kотельцовый,186 м²,Новострой,A-casa,15 м²
1-комнатная квартира,https://999.md/ru/102467046,Подземная,102467046,9,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,77 500 €,1,,1,,1,"Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 20/1",Белый вариант,Частное лицо,,50 м²,Новострой,Sky House,
3-х комнатная квартира,https://999.md/ru/103978623,Подземная,103978623,18,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,131 700 €,2,,2,Квартира с ливингом,14,"Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 14",Белый вариант,Частное лицо,Бетон,91 м²,Новострой,Sky House,
2-х комнатная квартира,https://999.md/ru/103894741,Oткрытое,103894741,9,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Варц (Варницкая),,96 500 €,1,,1,Квартира без ливинга,4,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Batran, 27/3",Eвроремонт,Частное лицо,,52 м²,Вторичный,,
2-х комнатная квартира,https://999.md/ru/103226134,,103226134,5,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,87 000 €,1,,1,,5,"Кишинёв мун., Кишинёв, Ботаника, str. Trandafirilor, 31/5",Eвроремонт,Застройщик,,43 м²,Вторичный,,
3-х комнатная квартира,https://999.md/ru/102044324,,102044324,5,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,,,122 000 €,1,,,Квартира с ливингом,4,"Кишинёв мун., Кишинёв, Рышкановка, str. Miron Costin, 20",Eвроремонт,Агентство,Kотельцовый,80 м²,Вторичный,,
1-комнатная квартира,https://999.md/ru/103480098,Подземная,103480098,5,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,,,63 900 €,2,275 см,,Квартира с ливингом,3,"Кишинёв мун., Кишинёв, Телецентр, str. Schinoasa-Vale, 3",Белый вариант,Застройщик,Kирпичный,45 м²,Новострой,,
3-х комнатная квартира,https://999.md/ru/103480178,Подземная,103480178,7,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,,,107 500 €,2,275 см,,Квартира с ливингом,3,"Кишинёв мун., Кишинёв, Телецентр, str. Schinoasa-Vale, 1a",Белый вариант,Застройщик,Kирпичный,84 м²,Новострой,,
3-х комнатная квартира,https://999.md/ru/85456599,,85456599,12,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,130 500 €,,,,,4,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/4",,Застройщик,,87 м²,Новострой,Solomon Construct Imobil,
3-х комнатная квартира,https://999.md/ru/103622689,,103622689,5,"3-х комнатная квартира,  Центр,  Купчинь,  Единцы",Продам,,,36 000 €,1,250 см,2,,3,"Единцы, Купчинь, Центр, str. Livezilor, 8",Индивидуальный дизайн,Частное лицо,,67 м²,Вторичный,,9 м²
1-комнатная квартира,https://999.md/ru/103972682,Oткрытое,103972682,6,"1-комнатная квартира,  Центр,  Криково,  Кишинёв мун.",Продам,Индивидуальная,35 м²,74 500 €,,2700 см,1,Квартира без ливинга,6,"Кишинёв мун., Криково, Центр, Str Chișinăului , 82",Eвроремонт,Застройщик,Kотельцовый,54 м²,Новострой,AMIC,18 м²
1-комнатная квартира,https://999.md/ru/103986814,,103986814,8,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,,,95 900 €,1,,1,,5,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 126/6",Eвроремонт,Агентство,,42 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/85455780,,85455780,12,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,103 500 €,,,,,7,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/4",,Застройщик,,69 м²,Новострой,Solomon Construct Imobil,
1-комнатная квартира,https://999.md/ru/101600761,Oткрытое,101600761,10,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,,,48 240 €,1,,1,Квартира с ливингом,4,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 99/6",Белый вариант,Застройщик,Kомбинированный,40 м²,Новострой,,
3-х комнатная квартира,https://999.md/ru/103434539,Гараж,103434539,2,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Индивидуальная,60 м²,140 000 €,1,250 см,2,Квартира без ливинга,2,"Кишинёв мун., Кишинёв, Центр, str. 31 August 1989, 36",Косметический pемонт,Агентство,Kотельцовый,90 м²,Вторичный,,9 м²
2-х комнатная квартира,https://999.md/ru/103494214,Гараж,103494214,2,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Индивидуальная,28 м²,84 000 €,1,250 см,1,,2,"Кишинёв мун., Кишинёв, Центр, str. 31 August 1989, 36",Косметический pемонт,Агентство,Kотельцовый,35 м²,Вторичный,,6 м²
1-комнатная квартира,https://999.md/ru/103494148,Oткрытое,103494148,2,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Индивидуальная,16 м²,64 000 €,,250 см,1,,1,"Кишинёв мун., Кишинёв, Центр, str. 31 August 1989, 36",Косметический pемонт,Агентство,Kотельцовый,34 м²,Вторичный,,6 м²
2-х комнатная квартира,https://999.md/ru/87039989,,87039989,8,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,,,102 000 €,,,,,3,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 98/1",,Застройщик,,68 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/85455852,,85455852,12,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,103 500 €,,,,,5,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/4",,Застройщик,,69 м²,Новострой,Solomon Construct Imobil,
2-х комнатная квартира,https://999.md/ru/103610782,,103610782,9,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,,,95 000 €,,,,,2,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 17",,Застройщик,,60 м²,Вторичный,,
2-х комнатная квартира,https://999.md/ru/89360574,Oткрытое,89360574,11,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,,,205 000 €,1,,2,Квартира с ливингом,3,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 0",Eвроремонт,Агентство,,80 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/102295621,Oткрытое,102295621,9,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Индивидуальная,,215 000 €,1,,2,Квартира с ливингом,4,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spatarul, 63",Eвроремонт,Агентство,Kирпичный,71 м²,Новострой,Solomon Construct Imobil,
3-х комнатная квартира,https://999.md/ru/100180882,Oткрытое,100180882,10,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,,,185 000 €,1,,2,Квартира с ливингом,2,"Кишинёв мун., Кишинёв, Чокана, ул. Николае Милеску-Спэтарул, 43",Eвроремонт,Агентство,,90 м²,Новострой,Dansicons,
2-х комнатная квартира,https://999.md/ru/103505452,,103505452,10,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,,,89 900 €,1,,1,,1,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 100a",,Застройщик,,56 м²,Новострой,Solomon Construct Imobil,
1-комнатная квартира,https://999.md/ru/103412465,,103412465,5,"1-комнатная квартира,  Центр,  Страшены,  Страшены",Продам,,,29 999 €,,,1,,1,"Страшены, Страшены, Центр, str. Alexei Mateevici, 5",Нуждается в ремонте,Частное лицо,,33 м²,Вторичный,,
2-х комнатная квартира,https://999.md/ru/103986497,Oткрытое,103986497,5,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,,,67 500 €,1,,1,Квартира с ливингом,5,"Кишинёв мун., Кишинёв, Телецентр, str. Lech Kaczynski, 6/1",Косметический pемонт,Агентство,Kотельцовый,47 м²,Вторичный,,
