Тип здания,Высота потолков,link,Состояние квартиры,id,Количество комнат,Планировка,Жилой фонд,Количество этажей,Автор объявления,price,Адрес,Застройщик,Этаж,title,Балкон / лоджия,Общая площадь,Площадь кухни,Парковочное место,Жилая площадь,Санузел,Ливинг,Тип
,,https://999.md/ru/104068758?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODgxMTcsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNjg3NTgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiMjU2ZWEyNmQtY2VjNC00ODIyLWIxOGUtNmUyODAzMGYyMWUzIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDExOjI4OjM3LjU4MTY2NzUzM1oifX0.EFR_-RIF80soiT194weqNunxC5Dh5iSawM8ext2UEac&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=1,Белый вариант,104068758,2-х комнатная квартира,,Новострой,16,Частное лицо,85 000 €,"Кишинёв мун., Кишинёв, Ботаника, str. Grădina Botanică, 18/1",Inamstro,11,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,52 м²,,,,1,,Продам
,,https://999.md/ru/103122667?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODgxMTcsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMxMjI2NjciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiJwcm8iLCJsIjoiZjFkMDkxYWYtZWZhYy00NWJmLWE4YjktNzQzY2ExMjdhNzE4IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDExOjI4OjM3LjU4MTY5MTkzWiJ9fQ.cOfa_seRrj2G6bxvPKCtYbhHnK-7sIMRC9gdicXfXjo&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=2,Eвроремонт,103122667,1-комнатная квартира,,Новострой,9,Частное лицо,97 000 €,"Кишинёв мун., Кишинёв, Центр, str. Ialoveni, 100/3",Pamir Construct,2,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2,46 м²,,Подземная,,1,,Продам
,,https://999.md/ru/103729626?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODgxMTcsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM3Mjk2MjYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiYTU2YjMzNTMtYWVmMy00YWM1LThjZjAtNWViNThjM2JhNTcyIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDExOjI4OjM3LjU4MTg4ODYzMloifX0.OZWjy8WH0FmeINUYoPMPAnzGviGI5Saxclwq9Z3iQ8w&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=5,Eвроремонт,103729626,1-комнатная квартира,,Новострой,8,Агентство,115 900 €,Расположение,,2,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,44 м²,,,,,,Продам
,,https://999.md/ru/104090179?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODgxMTcsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwOTAxNzkiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiYWJhOTM5N2ItNjE1MS00YjRmLTk5YWItZTk1NWMzYzM5N2RjIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDExOjI4OjM3LjU4MTk1NTk2MloifX0.bA5SsPNfdVj-T5mwDkalR1QL0P31GfYzGIczupnueZ0&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=8,Без ремонта,104090179,4-x комнатная квартира,,Вторичный,10,Застройщик,126 000 €,"Кишинёв мун., Кишинёв, Ботаника, str. Valea Crucii, 22",,9,"4-x комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,91 м²,,,,2,,Продам
Блочный,280 см,https://999.md/ru/64941772?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODgyNjMsIkMiOnsiciI6MSwiYiI6MjYwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI2NDk0MTc3MiIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6IiIsImwiOiJlZDQwMmYyZS1kM2QxLTQ5NTUtOGYyZC1jZjlmNDQ4ZmE2M2YiLCJlIjoiODkuMTQ5LjkzLjEzOSIsInQiOiIyMDI2LTA0LTIwVDExOjMxOjAzLjc2MjUyOTY5OFoifX0.7W-9txTdoWmTSVjDof2cM-WsgjQeJOweuVep9nEaLso&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=2,Eвроремонт,64941772,1-комнатная квартира,Индивидуальная,Новострой,11,Застройщик,900 MDL,Расположение,,8,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",1,45 м²,20 м²,Подземная,20 м²,1,,
,,https://999.md/ru/78925415?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODgyNjMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI3ODkyNTQxNSIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InBybyIsImwiOiIzZTU1ODhmOS1mYTc5LTQ4NmItYmE5My0yZDNhNDgxMTgxODYiLCJlIjoiODkuMTQ5LjkzLjEzOSIsInQiOiIyMDI2LTA0LTIwVDExOjMxOjAzLjc2MjYwOTc5M1oifX0.w2hfSdZL3eAS5bZ11jxCwrD7qdk3owSUv50zMVV83fM&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=3,,78925415,2-х комнатная квартира,,Вторичный,5,Застройщик,400 €,"Кишинёв мун., Кишинёв, Рышкановка, str. Miron Costin, 13/8",,4,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,45 м²,,,,,,Сдаю помесячно
Kотельцовый,280 см,https://999.md/ru/101562905?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODgyNjMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE1NjI5MDUiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiY2EwZDMxZTgtZTYxMy00M2YzLWFhNDktMjQzNjBlNzk0YzlhIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDExOjMxOjAzLjc2Mjc3MjMyMVoifX0.oazJR5C4lMccDZdrA_JpsFQYlytDw7DKorGwQ5TpH74&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=5,Eвроремонт,101562905,2-х комнатная квартира,Индивидуальная,Новострой,3,Частное лицо,950 €,"Кишинёв мун., Кишинёв, Буюканы, Vasile Stroiescu , 11/1",,2,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",1,124 м²,16 м²,Oткрытое,98 м²,1,Квартира с ливингом,Сдаю помесячно
Kирпичный,292 см,https://999.md/ru/88100281?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODgyNjMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4ODEwMDI4MSIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6IiIsImwiOiI0M2NmMDQyNS0yNGFiLTQ0NmItYjg2Ny00ODU4OWVlOTQ4OTYiLCJlIjoiODkuMTQ5LjkzLjEzOSIsImciOiJ0dXJibyIsInQiOiIyMDI2LTA0LTIwVDExOjMxOjAzLjc2Mjc5Njc3WiJ9fQ.jNuZq68_jTppT0JZTNWGdcfgvAhnZ1hioo7PaUHL2ds&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=6,Белый вариант,88100281,2-х комнатная квартира,Индивидуальная,Новострой,8,Застройщик,74 800 €,"Бельцы мун., Бельцы, Автовокзал, str. Nicolae Iorga, 26",,4,"2-х комнатная квартира,  Автовокзал,  Бельцы,  Бельцы мун.",1,68 м²,,Гараж,68 м²,2,,Продам
,,https://999.md/ru/83157782?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODgyNjMsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4MzE1Nzc4MiIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6IiIsImwiOiI3NjJlNzRmYy02NzA0LTQzNzUtYWMyYy00MWRiZTQ0NDc3MTgiLCJlIjoiODkuMTQ5LjkzLjEzOSIsInQiOiIyMDI2LTA0LTIwVDExOjMxOjAzLjc2Mjg0MDk4NFoifX0.I5Hy-zBAf5046Moc5Csn10_YlX1pCaHXAcTIzYYdl9w&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=7,,83157782,1-комнатная квартира,,Новострой,15,Частное лицо,40 €,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 3/10",,10,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",1,38 м²,,Oткрытое,,1,Квартира без ливинга,Сдаю посуточно
Kотельцовый,,https://999.md/ru/103951254?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODgyNjMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5NTEyNTQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYTJhZWVkOWEtZDdiMi00MDRlLTg3NDItZDQxNGVhNTVmZTI2IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDExOjMxOjAzLjc2Mjg2MzYxNVoifX0.Fh4i7GDEwdlyirQojp4kiBiI2HxYMQvwp5fMEuDbQwM&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=8,Eвроремонт,103951254,3-х комнатная квартира,Брж (Брежневка),Вторичный,5,Частное лицо,110 000 €,Расположение,,5,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2,70 м²,,,70 м²,1,,Продам
Kирпичный,,https://999.md/ru/89697488?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODgyNjMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4OTY5NzQ4OCIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6InBybyIsImwiOiIyNTQ3ZWNjMi1hZjQxLTRhZjAtOTVlYi00YjBlMjg0Zjc3N2EiLCJlIjoiODkuMTQ5LjkzLjEzOSIsImciOiJ0dXJibyIsInQiOiIyMDI2LTA0LTIwVDExOjMxOjAzLjQ3ODAxNTA0OFoifX0.Yh0cFgADihGxHXD023A_7G_9ZGvEb2DjGWCBCOdbBw0&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=726,Индивидуальный дизайн,89697488,3-х комнатная квартира,Индивидуальная,Новострой,8,Застройщик,245 000 €,"Кишинёв мун., Кишинёв, Центр, str. Avram Iancu, 32",Inamstro,2,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,100 м²,,,100 м²,2,Квартира с ливингом,
,,https://999.md/ru/103925431?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODgyNjMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5MjU0MzEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiN2Q1YzJhNTAtOTQ4OC00YzcyLTg2YmUtNDAwZGQzZjdkZDY2IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDExOjMxOjAzLjQ3ODA3OTM2NloifX0.vQYG7awUROzkhA_stdo-vBef610d2dOnG6AeBdpQ-6I&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=737,,103925431,1-комнатная квартира,,Вторичный,16,Частное лицо,78 500 €,"Кишинёв мун., Кишинёв, Буюканы, str. Eugen Coca, 19",,7,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,41 м²,,,,,Квартира с ливингом,Продам
,,https://999.md/ru/50556564?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODgyNjMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI1MDU1NjU2NCIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6InByZW1pdW0iLCJsIjoiNmE0NmJkODctMTQzMi00MzUzLWJjZGUtMmJkYWZjNjYyMjFmIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDExOjMxOjAzLjQ3ODEyMDQxM1oifX0.VeBtaEpiVA45GdRbp3XleWR-nY4Gqv4YGBSZfpSNd2s&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=749,Eвроремонт,50556564,3-х комнатная квартира,,Новострой,4,Застройщик,1 500 €,"Кишинёв мун., Кишинёв, Буюканы, Primaverii, 11",,2,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",1,75 м²,,Oткрытое,,1,,
Kотельцовый,,https://999.md/ru/103962174?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODgyNjMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5NjIxNzQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiYWQwZjZhYjYtNTllYy00MGYxLWIyZTItMmJlMmY2YTExNzAwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxMTozMTowMy40NzgyMDY5MzRaIn19.oj7xMw4mT3vq-5JEpsl7N_yRWi0HuoG0bqwIoLsz8vY&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=771,,103962174,3-х комнатная квартира,,Вторичный,5,Застройщик,82 900 €,"Кишинёв мун., Кишинёв, Рышкановка, str. Nicolae Dimo, 29/3",,2,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",1,62 м²,,Oткрытое,,1,,Продам
,,https://999.md/ru/104090485?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODgyNjMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwOTA0ODUiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiJwcm8iLCJsIjoiZmQ4Zjk5NTMtMTI5ZS00NjFlLTllYTUtMzUyZDk1NzNlNTA5IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDExOjMxOjAzLjQ3NTgxNzYzNloifX0.wsSaM3kLdWNMJqL6BBggZbeWtehoCmzk4jMVuugGoIM&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=11,Eвроремонт,104090485,1-комнатная квартира,,Новострой,9,Частное лицо,720 €,"Кишинёв мун., Кишинёв, Центр, str. Pan Halippa, 6",,3,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",1,50 м²,,,,1,Квартира с ливингом,Сдаю помесячно
,600 см,https://999.md/ru/103526503?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODgyNjMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM1MjY1MDMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiJwcm8iLCJsIjoiMzMyZDQzMWYtYzk1YS00YmM2LWE4NjgtZGE0ZmFlMjY3NDM2IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDExOjMxOjAzLjQ3NTI5NTc4N1oifX0.OCXMivA0Vh_lLf0R8MUnSDFSY4i65wDttr0BjVyG4pU&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=1,Индивидуальный дизайн,103526503,3-х комнатная квартира,Индивидуальная,Новострой,7,Частное лицо,399 000 €,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 17/17",,Пентхаус,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",1,156 м²,,Oткрытое,143 м²,2,Квартира с ливингом,Продам
,,https://999.md/ru/104017784?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODgyNjMsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwMTc3ODQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiM2YyY2EzNzItMjY4ZS00YjFiLWFkMWQtODhhMjhlNmE0NzRkIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxMTozMTowMy40NzUzMzM1NjhaIn19.KtsGDx1HAEW1LpGdu1DTQgqN6_Iwqp6StT_HlKiNABM&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=2,,104017784,2-х комнатная квартира,,Новострой,12,Агентство,890 €,Расположение,,8,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,65 м²,,,,,Квартира с ливингом,Сдаю помесячно
Kомбинированный,,https://999.md/ru/102284410?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODgyNjMsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDIyODQ0MTAiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiZDBhYWM1N2EtMTMwMi00YWExLWIzNWMtYjAwNzdmMTU1MjY4IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxMTozMTowMy40NzUzODAyNjdaIn19.lWln2wGH6OL64kBQZyAjc97Dq-S2d0cCM8YqkVws0yU&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=3,Белый вариант,102284410,2-х комнатная квартира,,Новострой,9,Частное лицо,85 900 €,"Кишинёв мун., Кишинёв, Рышкановка, str. Tudor Vladimirescu, 1/8",Lagmar Impex,4,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",1,53 м²,,,,1,Квартира с ливингом,Продам
Бетон,,https://999.md/ru/103360660?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODgyNjMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMzNjA2NjAiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiZTExZDczNDMtMGRkMy00ZDQyLTg4MzgtMDc2N2YyMjQ1ZmYwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDExOjMxOjAzLjQ3NTQ0MDg1OVoifX0.amSTuYY0scaKDiCIKHJ_ff7s8nr1bEI59bEt76JV10U&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=4,Индивидуальный дизайн,103360660,1-комнатная квартира,Индивидуальная,Новострой,10,Частное лицо,95 999 €,Расположение,Basconslux,1,"1-комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.",1,47 м²,,Подземная,,1,,Продам
,,https://999.md/ru/103647296?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODgyNjMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2NDcyOTYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiJwcm8iLCJsIjoiZWQwMzE0OTctMTA4Ny00ZWE2LTk1ZjYtM2U4ZGRiZTQyYWQwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxMTozMTowMy40NzU1MjM2NjNaIn19.fnxXykPE621h94Yc3LA3t90whdsq9dm7YuJ1l4eciXo&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=5,,103647296,1-комнатная квартира,,Новострой,11,Застройщик,600 MDL,"Кишинёв мун., Кишинёв, Центр, str. Ismail, 88",,4,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,35 м²,,,,,,Сдаю посуточно
Бетон,,https://999.md/ru/102094801?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODgyNjMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDIwOTQ4MDEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiZGEyNGU1Y2EtY2Y0Ni00NWY0LTk5ZTctYTYyOTNiMWY2ZTU4IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxMTozMTowMy40NzU2NjkzOTJaIn19.sC72H3UEtycqltOqB0q4bYRCsKRl6EEje1xrZ6q0cB0&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=8,,102094801,2-х комнатная квартира,,Вторичный,9,Частное лицо,450 €,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Voda, 34/1",,2,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1,60 м²,,,,1,,Сдаю помесячно
Kирпичный,,https://999.md/ru/104066914?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODgzMjIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNjY5MTQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYzdmYzhkODYtNTkzMC00NDUwLTg1NGYtZWY0MzlkZjdiMmYwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxMTozMjowMi4xNTkwODM4NDJaIn19.mxPBC_lIGM9rArGAOWMmKAUKqSehDXip9EZ0eZ32SYI&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,Eвроремонт,104066914,3-х комнатная квартира,,Новострой,10,Частное лицо,134 800 €,"Кишинёв мун., Кишинёв, Телецентр, str. Miorita, 1/1",,3,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,66 м²,,,,,,Продам
,,https://999.md/ru/104095430?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODgzMjIsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwOTU0MzAiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNjI3YjBkMTUtZTk4YS00NWEwLThkMzgtYTE1N2MyZTdjNDhmIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDExOjMyOjAyLjE1ODc4NDUyMloifX0.qJetiMTaNQP3iyMaOsmwvQ8Z1DEomdiCcdxJbSpf1mU&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=1,Eвроремонт,104095430,2-х комнатная квартира,,Новострой,10,Частное лицо,91 000 €,"Бельцы мун., Бельцы, БАМ, str. Ivan Conev, 34",,2,"2-х комнатная квартира,  БАМ,  Бельцы,  Бельцы мун.",,61 м²,,Oткрытое,61 м²,1,,Продам
